section,benefit,notes,[Income] IncomeShield Plan A*,[Income] Enhanced IncomeShield Advantage,[AIA] HealthShield Gold Max B,[Great Eastern] GREAT SupremeHealth A PLUS,[Prudential] PRUShield A*,[Prudential] PRUShield Plus,[Singlife] Singlife Shield Plan 2,[HSBC Life] HSBC Life Shield Plan B,[Raffles Health Insurance] Raffles Shield A,source_pdf,source_slug,source_page,source_table,repair_flags
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment* (* Refer to the Cancer Drug List on the MOH website for the applicable MediShield Life claim limit),,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,3x MediShield Life limit/mth [Note (14)],5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,04_class_a_plans.pdf,class_a_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","3x MediShield Life limit/yr (10,800/yr) [Note (14)]","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)",04_class_a_plans.pdf,class_a_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer,Patients receiving treatment for multiple,,rimary cancers,"5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","3x MediShield Life limit/yr (10,800/yr) [Note (14)]","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)",04_class_a_plans.pdf,class_a_plans,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Advantage|forward_fill_from_previous:[AIA] HealthShield Gold Max B|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A PLUS|forward_fill_from_previous:[Prudential] PRUShield A*|forward_fill_from_previous:[Prudential] PRUShield Plus|forward_fill_from_previous:[Singlife] Singlife Shield Plan 2|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan B|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield A
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment,,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month [Note (14)],Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,04_class_a_plans.pdf,class_a_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","3x MediShield Life limit for multiple primary cancers (21,600/yr) [Note (14)]","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)",04_class_a_plans.pdf,class_a_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- External (Except Hemi-Body),,400/treatment,,"As Charged in Restructured Hospitals. For charges incurred in private hospital, as-charged up to 500/treatment. Pro-ration only apply for charges above 500/treatment.",As Charged,600/day,As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Brachytherapy,,500/treatment,,"As Charged in Restructured Hospitals. For charges incurred in private hospital, as-charged up to 500/treatment. Pro-ration only apply for charges above 500/treatment.",As Charged,600/day,As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,2,1,forward_fill_from_previous:[AIA] HealthShield Gold Max B|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A PLUS|forward_fill_from_previous:[Prudential] PRUShield A*|forward_fill_from_previous:[Prudential] PRUShield Plus|forward_fill_from_previous:[Singlife] Singlife Shield Plan 2|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan B|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield A
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Hemi-Body,,-,,"As Charged in Restructured Hospitals. For charges incurred in private hospital, as-charged up to 500/treatment. Pro-ration only apply for charges above 500/treatment.",As Charged,600/day,As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,2,1,forward_fill_from_previous:[AIA] HealthShield Gold Max B|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A PLUS|forward_fill_from_previous:[Prudential] PRUShield A*|forward_fill_from_previous:[Prudential] PRUShield Plus|forward_fill_from_previous:[Singlife] Singlife Shield Plan 2|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan B|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield A
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Stereotactic,,"3,000/treatment",,"As Charged in Restructured Hospitals. For charges incurred in private hospital, as-charged up to 4,000/treatment. Pro- ration only apply for charges above 4,000 /treatment.","3,500/treatment",600/day,As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,2,1,forward_fill_from_previous:[Prudential] PRUShield A*|forward_fill_from_previous:[Prudential] PRUShield Plus|forward_fill_from_previous:[Singlife] Singlife Shield Plan 2|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan B|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield A
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Proton Beam Therapy - Category 1,,400/treatment [Note (15a and 15b)],Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,-,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,04_class_a_plans.pdf,class_a_plans,2,1,
