section,benefit,notes,[Income] IncomeShield Plan P*,[Income] Enhanced IncomeShield Preferred,[AIA] HealthShield Gold Max A,[Great Eastern] GREAT SupremeHealth A*,[Great Eastern] GREAT SupremeHealth P PLUS,[Prudential] PRUShield Premier,[Singlife] Singlife Shield Plan 1,[Singlife] Singlife Shield Starter,[HSBC Life] HSBC Life Shield Plan A,[Raffles Health Insurance] Raffles Shield Private,source_pdf,source_slug,source_page,source_table,repair_flags
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment* * Refer to the Cancer Drug List (CDL) on the MOH website for the applicable MediShield Life claim limit,,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)",05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Treatment,,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Services,,"5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)",05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- External (Except Hemi-Body),,600/treatment,As Charged,As Charged,"1,100/treatment",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged,05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Brachytherapy,,600/treatment,"1,400/treatment",As Charged,"1,100/treatment",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged,05_private_hospital_plans.pdf,private_hospital_plans,2,1,forward_fill_from_previous:[AIA] HealthShield Gold Max A|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth P PLUS|forward_fill_from_previous:[Prudential] PRUShield Premier|forward_fill_from_previous:[Singlife] Singlife Shield Plan 1|forward_fill_from_previous:[Singlife] Singlife Shield Starter|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan A|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield Private
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Hemi-Body,,-,"2,800/treatment",As Charged,"1,100/treatment",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged,05_private_hospital_plans.pdf,private_hospital_plans,2,1,forward_fill_from_previous:[AIA] HealthShield Gold Max A|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth P PLUS|forward_fill_from_previous:[Prudential] PRUShield Premier|forward_fill_from_previous:[Singlife] Singlife Shield Plan 1|forward_fill_from_previous:[Singlife] Singlife Shield Starter|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan A|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield Private
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Stereotactic,,"5,000/treatment","6,500/treatment",As Charged,"1,100/treatment",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged,05_private_hospital_plans.pdf,private_hospital_plans,2,1,forward_fill_from_previous:[AIA] HealthShield Gold Max A|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth P PLUS|forward_fill_from_previous:[Prudential] PRUShield Premier|forward_fill_from_previous:[Singlife] Singlife Shield Plan 1|forward_fill_from_previous:[Singlife] Singlife Shield Starter|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan A|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield Private
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 1,,600/treatment [Note (16a and 16b)],Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,As Charged,Covered under Additional Benefits,Covered under Additional Benefits,05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 2,,600/treatment [Note (16a and 16b)],Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,As Charged,Covered under Additional Benefits,Covered under Additional Benefits,05_private_hospital_plans.pdf,private_hospital_plans,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Preferred|forward_fill_from_previous:[AIA] HealthShield Gold Max A|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth P PLUS|forward_fill_from_previous:[Prudential] PRUShield Premier|forward_fill_from_previous:[Singlife] Singlife Shield Plan 1|forward_fill_from_previous:[Singlife] Singlife Shield Starter|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan A|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield Private
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 3,,"5,000/treatment [Note (16a and 16b)]",Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,As Charged,Covered under Additional Benefits,Covered under Additional Benefits,05_private_hospital_plans.pdf,private_hospital_plans,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Preferred|forward_fill_from_previous:[AIA] HealthShield Gold Max A|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth P PLUS|forward_fill_from_previous:[Prudential] PRUShield Premier|forward_fill_from_previous:[Singlife] Singlife Shield Plan 1|forward_fill_from_previous:[Singlife] Singlife Shield Starter|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan A|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield Private
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,Kidney Dialysis,,"3,500/mth",As Charged,As Charged,"48,000/yr",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged,05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,Immunosuppressants for Organ Transplants,,"1,000/mth",As Charged,As Charged,"20,000/yr",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged,05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,Erythropoietin for Chronic Kidney Failure,,"1,000/mth",As Charged,As Charged,"8,000/yr",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged,05_private_hospital_plans.pdf,private_hospital_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,Long-Term Parenteral Nutrition,,-,As Charged,As Charged,"4,200/mth",As Charged,As Charged,As Charged,As Charged,As Charged,"3,980/mth",05_private_hospital_plans.pdf,private_hospital_plans,2,1,
